OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2023-03-01,13,0,2023-03-01T20:00:00-00:00,2023-03-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1530.64202,ACTUAL,1
2023-03-01,15,0,2023-03-01T22:00:00-00:00,2023-03-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1548.80529,ACTUAL,1
2023-03-01,12,0,2023-03-01T19:00:00-00:00,2023-03-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1539.97887,ACTUAL,1
2023-03-01,19,0,2023-03-02T02:00:00-00:00,2023-03-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,14.2123,ACTUAL,1
2023-03-01,11,0,2023-03-01T18:00:00-00:00,2023-03-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1541.05303,ACTUAL,1
2023-03-01,24,0,2023-03-02T07:00:00-00:00,2023-03-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,15.32606,ACTUAL,1
2023-03-01,10,0,2023-03-01T17:00:00-00:00,2023-03-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1524.98396,ACTUAL,1
2023-03-01,16,0,2023-03-01T23:00:00-00:00,2023-03-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1515.7478,ACTUAL,1
2023-03-01,9,0,2023-03-01T16:00:00-00:00,2023-03-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1308.36516,ACTUAL,1
2023-03-01,23,0,2023-03-02T06:00:00-00:00,2023-03-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,15.27747,ACTUAL,1
